C (%),H (%),O (%),S (%),N (%),H/C,O/C,N/C,Ash (%),SC (%),T (°C),RT (min),Mass_RS (g/mol),Polarity _RS (10-3),Mass_SE (g/mol),Polarity _SE (10-3),Yield_oil (%),N_oil (%),ER_oil (%)
34.3,4.86,24.48,0,4.72,1.7,0.54,0.12,31.63,25,350,15,18,1000,58.08,529.41,17.3,4.67,39.23
34.3,4.86,24.48,0,4.72,1.7,0.54,0.12,31.63,25,400,15,18,1000,58.08,529.41,16.34,4.42,37.23
37.46,6.89,22.77,1.64,4.63,2.21,0.46,0.11,26.61,25.93,340,20,18,1000,84.93,309,27.23,5.16,47.48
21.83,3.52,13.92,7.09,4.59,1.93,0.48,0.18,49.04,10,300,30,18,1000,84.93,309,42.95,2.57,49.67
21.83,3.52,13.92,7.09,4.59,1.93,0.48,0.18,49.04,10,320,30,18,1000,84.93,309,39.44,3.53,62.83
21.83,3.52,13.92,7.09,4.59,1.93,0.48,0.18,49.04,10,340,30,18,1000,84.93,309,33.48,2.87,72.33
21.83,3.52,13.92,7.09,4.59,1.93,0.48,0.18,49.04,10,360,30,18,1000,84.93,309,29.65,1.14,77.97
36.83,5.08,25.13,3.36,6.81,1.66,0.51,0.16,22.8,13,300,30,18,1000,84.93,309,41.36,4.72,88.42
36.83,5.08,25.13,3.36,6.81,1.66,0.51,0.16,22.8,13,325,30,18,1000,84.93,309,49.82,4.73,79.32
36.83,5.08,25.13,3.36,6.81,1.66,0.51,0.16,22.8,13,350,30,18,1000,84.93,309,45.64,4.26,99.18
36.83,5.08,25.13,3.36,6.81,1.66,0.51,0.16,22.8,13,375,30,18,1000,84.93,309,43.82,4.54,96.51
36.83,5.08,25.13,3.36,6.81,1.66,0.51,0.16,22.8,13,400,30,18,1000,84.93,309,42.59,3.82,91.92
30.25,4.37,20.65,0,4.1,1.73,0.51,0.12,40.63,27.03,350,15,18,1000,58.08,529.41,23.83,6.83,59.95
30.25,4.37,20.65,0,4.1,1.73,0.51,0.12,40.63,27.03,400,15,18,1000,58.08,529.41,24,5.2,62.77
47.9,5.7,32.3,0.6,3.7,1.43,0.51,0.07,9.8,20,350,60,18,1000,84.93,309,38.5,4.13,59.8
47.8,6.5,34.1,0.5,3.6,1.63,0.54,0.07,7.5,20,350,60,18,1000,84.93,309,34.7,4.34,62.16
43.6,6.6,25,0.7,7.9,1.82,0.43,0.16,16.2,20,350,60,18,1000,84.93,309,20,5.5,35.31
33.85,5.14,16.5,3.2,5.81,1.82,0.37,0.15,35.5,10,260,10,18,1000,84.93,309,15,4.46,32.33
33.85,5.14,16.5,3.2,5.81,1.82,0.37,0.15,35.5,10,300,10,18,1000,84.93,309,20.07,4.56,43.87
33.85,5.14,16.5,3.2,5.81,1.82,0.37,0.15,35.5,10,340,10,18,1000,84.93,309,22.82,4.97,50
33.85,5.14,16.5,3.2,5.81,1.82,0.37,0.15,35.5,10,350,10,18,1000,84.93,309,19.86,4.51,44.21
38.91,5.45,24.3,0,6.24,1.68,0.47,0.14,25.1,24.5,350,10,18,1000,58.08,529.41,37.02,6.13,72.58
18.67,2.87,15.8,0.81,2.74,1.84,0.63,0.13,59.1,10,350,40,18,1000,84.93,309,9.17,5.54,33.78
30.16,3.63,28.93,0,4.28,1.45,0.72,0.12,33,14.29,320,15,18,1000,74.12,168,18.55,6.4,40.46
